City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
304,san juan,-31.5375,-68.5364,12.5,42,70,5.49,AR,1690068968
305,fale old settlement,-9.3852,-171.2468,28.5,74,11,3.25,TK,1690069166
306,celendin,-6.8703,-78.1517,18.29,62,6,2.43,PE,1690069166
307,la peca,-5.6111,-78.435,20.92,77,53,1.56,PE,1690069167
308,obo,5.3998,26.4869,18.47,95,90,0.64,CF,1690069168
309,virginia beach,36.8529,-75.978,27.79,75,0,3.09,US,1690068989
310,birao,10.2849,22.7882,21.62,90,100,0.55,CF,1690069169
311,ortaca,36.8294,28.7708,30.89,23,0,5.14,TR,1690069169
312,broome,42.2506,-75.833,22.58,72,79,0.98,US,1690069170
313,port saint john's,-31.6229,29.5448,17.49,50,41,2.86,ZA,1690069171
314,nieuw amsterdam,5.8833,-55.0833,27.23,84,28,3.5,SR,1690069171
315,ixtapa,20.7,-105.2,31.57,74,75,4.63,MX,1690069036
316,prachuap khiri khan,12.2167,99.75,23.07,91,100,5.42,TH,1690069172
317,mujiayingzi,42.1167,118.7833,19.96,80,100,2.11,CN,1690069173
318,mayahi,13.9553,7.6712,32.53,38,4,3.05,NE,1690069174
319,kadom,54.5592,42.4675,15.77,75,100,2.13,RU,1690069174
320,ponchatoula,30.4388,-90.4415,29.97,88,100,3.09,US,1690069175
321,belmonte,-15.8631,-38.8828,21.56,88,8,1.18,BR,1690069175
322,amga,60.8953,131.9608,22.25,53,60,3.19,RU,1690069176
323,kununurra,-15.7667,128.7333,19.99,34,48,6.69,AU,1690069176
324,la libertad,-2.2333,-80.9,26.81,74,0,5.14,EC,1690068990
325,nebbi,2.4783,31.0889,20.3,60,94,1.78,UG,1690069178
326,mirny,62.5353,113.9611,21.8,53,23,0.89,RU,1690069178
327,pradopolis,-21.3594,-48.0656,21.1,53,0,1.82,BR,1690069179
328,zielona gora,51.9355,15.5064,16.76,64,61,3.01,PL,1690069179
329,mulchen,-37.7167,-72.2333,9.92,95,50,2.36,CL,1690069180
330,sakleshpur,12.9667,75.7833,19.33,97,100,4.73,IN,1690069180
331,bratsk,56.1325,101.6142,19.08,65,16,1.54,RU,1690069181
332,amherst,41.3978,-82.2224,26.14,56,0,2.06,US,1690069063
333,chivilcoy,-34.8957,-60.0167,13.13,62,100,8.14,AR,1690069182
334,st. john's,47.5649,-52.7093,20.66,94,75,5.14,CA,1690069146
335,amasra,41.7463,32.3863,23.76,57,0,3.23,TR,1690069183
336,voznesenskoye,54.89,42.7569,14.76,79,100,2.0,RU,1690069184
337,porto novo,6.4965,2.6036,24.9,90,92,3.0,BJ,1690069185
338,nanakuli,21.3906,-158.1547,30.97,60,75,7.2,US,1690069185
339,kuqa,41.7278,82.9364,27.72,32,97,6.57,CN,1690069186
340,island harbour,50.724,-1.2758,16.75,95,100,4.92,GB,1690069186
341,wanda,-25.9693,-54.5697,24.23,57,14,3.14,AR,1690069187
342,keflavik,64.0049,-22.5624,12.24,82,100,2.06,IS,1690069187
343,forster,-32.1667,152.5167,14.05,65,98,3.17,AU,1690069188
344,horta,38.5333,-28.6333,20.01,84,36,1.79,PT,1690069188
345,al jawf,29.5,38.75,28.02,19,13,3.8,SA,1690069190
346,pisco,-13.7,-76.2167,20.03,73,0,7.72,PE,1690069190
347,papao,-17.75,-149.55,27.82,67,53,4.46,PF,1690069191
348,lloydminster,53.2835,-110.0016,26.12,53,20,3.09,CA,1690069123
349,kapa'a,22.0752,-159.319,29.18,79,40,6.17,US,1690069192
350,copala,16.65,-98.9833,29.74,68,48,2.25,MX,1690069192
351,lubao,14.9167,120.55,26.04,83,97,1.26,PH,1690069193
352,bandraboua,-12.7044,45.1223,24.82,74,2,8.04,YT,1690069193
353,tabas,33.5959,56.9244,34.12,13,1,6.17,IR,1690069194
354,ghanzi,-21.5667,21.7833,14.47,48,0,4.12,BW,1690069195
355,caluula,11.9661,50.7569,31.23,63,63,1.87,SO,1690069195
356,hengchun,22.0042,120.7439,29.12,76,59,5.03,TW,1690069196
357,muynoq,43.7683,59.0214,28.64,27,0,3.03,UZ,1690069198
358,livingston,55.9029,-3.5226,14.33,94,75,5.14,GB,1690069198
359,tibati,6.4667,12.6333,19.23,97,56,0.64,CM,1690069199
360,simanggang,1.2472,111.4528,23.99,100,85,0.0,MY,1690069200
361,itaituba,-4.2761,-55.9836,25.12,45,63,0.56,BR,1690069201
362,paciran,-6.8767,112.3761,24.14,79,61,4.31,ID,1690069201
363,tauranga,-37.6861,176.1667,13.25,70,70,0.89,NZ,1690069078
364,xining,36.6167,101.7667,15.33,71,85,1.33,CN,1690069204
365,aldinga beach,-35.2793,138.4604,11.48,73,61,4.73,AU,1690069204
